name,playtime_minutes,completion_status,added_at,cover_url
The Legend of Zelda: Tears of the Kingdom,5400,playing,2025-08-13,
Minecraft for Nintendo Switch,600,playing,2025-05-11,
Metroid Dread,2700,completed,2025-01-25,https://assets.nintendo.com/image/upload/ncom/en_US/games/switch/m/metroid-dread-switch/hero
The Legend of Zelda: Breath of the Wild,1200,playing,2026-07-07,
STREET FIGHTER 6,420,playing,2026-06-25,
FINAL FANTASY VII REMAKE INTERGRADE,1200,playing,2026-03-17,
Hollow Knight - Nintendo Switch 2 Edition,180,playing,2025-09-11,
Animal Crossing: New Horizons,3600,playing,2024-12-23,
Persona 3 Reload,5700,completed,2026-01-04,
Fast Fusion,180,playing,2025-12-29,
Pokémon Legends: Z-A - Nintendo Switch 2 Edition,4500,completed,2025-12-21,
NieR:Automata,420,playing,2025-09-30,
Super Smash Bros. Ultimate,4800,completed,2023-10-10,
SEGA AGES SONIC THE HEDGEHOG,240,completed,2024-02-01,
Mortal Shell,10,playing,2023-09-07,
Bloodstained: Ritual of the Night,1200,playing,2023-02-17,
Dadish 3,20,playing,2023-02-05,
Celeste,600,playing,2023-01-08,
Ori and the Will of the Wisps,600,playing,2022-10-15,
Forager,1500,playing,2022-03-26,
LEGO® MARVEL Super Heroes 2,240,playing,2022-01-17,
SUPER MARIO MAKER 2,2100,completed,2022-01-17,
Monopoly for Nintendo Switch,540,playing,2022-01-03,
Overcooked! Special Edition,120,playing,2021-12-24,
Pokémon Violet,9600,completed,2022-12-08,
Super Mario Party Jamboree,600,playing,2024-12-14,
Kill la Kill The Game - IF,180,playing,2025-08-11,
